abandon 放弃；放纵$0
trajectory 弹道轨道$0
trample 踩坏，践踏$0
trance 恍惚，昏睡状态$0
tranquility 宁静，安静$0
transaction 办理，交易$0
transcend 超越，胜过$0
transcendent 超越的，卓越的，出众的$0
transcendental 超越经验的$0
transcribe 抄写，转录$0
transfer 转移；传递；调任；转让$0
transfigure 美化，改观$0
transgress 冒犯，违背$0
transgression 违法，罪过$0
transience 短暂$0
transient 短暂的，转瞬即逝的$0
transition 过渡时期，转变$0
transitory 短暂的$0
translucent 透明的$0
transmit 传送，传播$0
transmute 变化，变作$0
transparent 透明的；直率的$0
transplantation 移植$0
transport 运输的；狂喜$0
transpose 变换位置，调换$0
trapeze 空中秋千$0
traverse 横穿过，横跨$0
travesty 歪曲模仿，曲解$0
treacherous 背叛的，叛逆的，奸诈的$0
treason 叛国罪$0
treatise 论文$0
treaty 条约；协议$0
tremendous 惊人的$0
tremor 震动，地震$0
trenchant 一针见血的$0
trend 趋势，倾向$0
trepidation 恐惧，惶恐$0
trespass 侵犯，闯入私人领地$0
tribunal 法庭，裁判所$0
tribute 赞辞；贡物$0
trickle 一滴滴地流$0
trifle 微不足道，琐事$0
trigger 扳机；引发，导致$0
trilogy 三部曲$0
trim 修剪；井井有条的$0
trinket 小装饰品；不值钱的珠宝$0
trio 三重奏，三重唱；三人一组$0
tripod 画架，三脚架$0
trite 陈腐的，陈词滥调的$0
triumph 凯旋，胜利，欢欣$0
trivial 琐细的$0
trophy 奖品，战利品$0
troupe 歌唱团，剧团$0
trowel 泥刀，小铲子$0
truancy 逃学，旷课$0
truce 停战，休战$0
truculent 残暴的，凶狠的$0
trudge 跋涉$0
trumpet 喇叭，小号$0
truncate 把截短，去尾$0
trunk 树干；大衣箱$0
truss 桁架，支架；干草的一捆$0
trustworthy 值得信赖的，可靠的$0
tuber 块茎，球根$0
tumult 乱哄哄$0
turbulent 导致动乱的；骚乱的$0
turgid 浮肿的，肿胀的；浮夸的$0
turmoil 混乱的，骚乱$0
turncoat 背叛者，变节者$0
tuipitude 邪恶，卑鄙$0
tuiquoise 绿松石；碧绿的$0
turret 塔楼，角塔$0
tusk 长牙$0
tussle 扭打，搏斗；争辩$0
tutor 助教$0
tuxedo 礼服，无尾礼服$0
twig 小枝，嫩枝$0
twinge 剧痛$0
typo 排印错误$0
typographical 印刷上的$0
tyranny 暴政，专制统治；暴行$0
tyrant 新手$0
tyro 无所不在的$0
ubiquitous 无所不在的$0
ugly 难看的，可怕的$0
ulcer 溃疡；腐烂物$0
ultimate 最后的$0
umbrage 不快，愤怒$0
umpire 裁判；对…进行仲裁$0
unaffected 自然的，不矫揉造作的$0
unanimous 全体意见一致的$0
unassuming 不摆架子的，不造作的$0
unbecoming 不合身的；不得体的$0
unbend 弄直$0
uncanny 神秘的，不可思议的$0
uncommitted 不受约束的，不承担责任的$0
unconscionable 无节制的，过度的$0
unconscious 不省人事的；未意识到的$0
uncouth 粗野笨拙的$0
unctuous 油质的；油腔滑调的$0
underbid 要价过低$0
undercut 削价与抢生意$0
underdog 失败者，受压迫者$0
underestimated 低估的$0
undergird 加强，巩固…的底部$0
underhanded 不光明的，卑鄙的$0
underling 下属，手下$0
underlying 在下面的；根本的$0
undermine 破坏，损坏$0
underplay 淡化…的重要性；表演不充分$0
underrate 低估，轻视$0
underscore 在…之下画线；强调$0
understate 掩饰地说，轻描淡写地说$0
understated 不完全陈述的，轻描淡写的$0
understatement 轻描淡写的陈述，不充分的陈述$0
unederstudy 预备演员，替角；充当…的替角$0
underutilized 未充分利用的$0
underwrite 同意负担…的费用；为…保险$0
undeserved 不应得的$0
undesirable 令人不悦的，讨厌的$0
undirected 未受指导的$0
unearth 挖出；发现$0
unearthly 奇异的$0
unenlightened 愚昧无知的；不文明的$0
unexceptionable 无可非议的$0
unfailing 无尽的，无穷的$0
unfasten 解开$0
unfeigned 真实的；不作假的$0
unflappable 不惊慌的，镇定的$0
unfold 展开，打开；逐渐呈现$0
unfounded 无事实根据的$0
ungainly 笨拙的$0
ungrudging 慷慨的$0
unguent 药膏，软膏$0
unicorn 独角兽$0
unidimendional 一方面的；一维的$0
unification 统一，一致$0
uniform 制服；相同的，一致的$0
unify 统一，使成一体；使相同$0
unimpassioned 没有激情的$0
unimpeachable 无可指责的，无可置疑的$0
uninitiated 外行的，缺乏经验的$0
unique 独一无二的，独特的；无与伦比的$0
univocal 意思明确的，单一意思的$0
unjustified 未被证明为正当的，无法解释的$0
unjustly 不义地，不法地$0
unkempt 不整洁的$0
unleash 发泄，解释$0
unmitigated 未缓和的，未减轻的；全然的$0
unmoved 无动于衷的，冷漠的；镇定的$0
unnoticed 不引人注意的$0
unobtrusive 不引人注目的$0
unpalatable 令人讨厌的$0
unprecedented 前所未有的$0
unpremeditated 非预谋的$0
unprepossessing 不吸引人的$0
unpretentious 不炫耀的$0
unprincipled 肆无忌惮的；不道德的$0
unproductive 徒然的，无成效的$0
unprovoked 无缘无故的$0
unqualified 无资格的；无限制的，绝对的$0
unravel 解开，拆散$0
unregenerate 不知悔改的$0
unregulated 未受管理的，未受约束的$0
unremitting 不间断的，持续的$0
unrepentant 不悔悟的，不后悔的$0
unrequited 无报答的$0
unreserved 无限制的；未被预订的$0
unscathed 未受损伤的，未遭伤害的$0
unscented 无气味的$0
unscrupulous 肆无忌惮的$0
unscrupulousness 狂妄，肆无忌惮$0
unseemly 不适当的，不宜的$0
unsettle 使不安宁，搅乱$0
unsettling 令人不安的，扰乱的；使窘困的$0
unsound 不结实的，不坚固的；无根据的$0
unspoiled 未损坏的；未宠坏的$0
unspotted 清白的，无污点的$0
unstinting 极为慷慨的，大方的$0
unsubstantiated 未经证实的，无事实根据的$0
untapped 未开发的，未利用的$0
unthreatening 不威胁的$0
untimely 过早的；不适时的$0
untold 无数的，数不清的$0
untoward 不幸的；没料到的$0
untutored 未经教育的$0
unwarranted 没有根据的$0
unwieldy 笨重的，笨拙的$0
unwitting 无心的，不经意的$0
unwonted 不寻常的，不习惯的$0
unoworldly 非世俗的；精神上的$0
upbraid 斥责，责骂$0
upgrade 提升，给…升级$0
upheaval 动乱，大变动$0
uphold 维护，支持$0
upright 垂直的；正直的$0
uproar 喧闹，骚动$0
uproaious 骚动的，喧嚣的；令人捧腹的$0
upstage 骄傲的，高傲的$0
upswing 上升，增长$0
urgent 迫切的，紧急的$0
usurp 篡夺，霸占$0
usury 高利贷$0
utilitarian 功利的，实利的$0
utilize 利用，使用$0
utopia 理想国，理想的完美境界$0
utopian 乌托邦式的，梦想的$0
utter 完全的$0
vaccinate 给……接种疫苗$0
vaccine 牛痘苗，疫苗$0
vacillate 游移不定，踌躇$0
vacuous 发呆的；愚笨的$0
vagary 奇想，异想天开$0
vagrancy 游荡，流浪$0
vagrant 飘泊的；流浪汉，无赖$0
vague 模糊的$0
vain 自负的；徒劳的$0
valediction 告别演说$0
valedictory 告别的，离别的$0
valiant 勇敢的，英勇的$0
validate 使…生效$0
valorous 勇敢的$0
valve 活门，阀门$0
vandalism 恶意破环$0
vandalize 肆意破坏$0
vanilla 香草，香子兰$0
vanity 虚荣，自负$0
vanquish 征服$0
vantage 优势，有利地位$0
vapid 索然无味的$0
vaporization 蒸发$0
vaporize 蒸发$0
vaporous 无实质的$0
variance 矛盾的；不同$0
variegate 使…多样化$0
variegation 杂色，斑驳$0
varnish 清漆；涂上清漆$0
vascular 血管的，脉管的$0
vault 拱顶；地窖$0
veer 转向，改变$0
vehicle 交通工具；传播媒介$0
veil 面纱；遮蔽物，掩蔽物；以面纱掩盖$0
velocity 速度$0
venal 惟利是图的，贪赃枉法的$0
vendetta 世仇，宿怨$0
vendor 小贩$0
veneer 镶面板；外表$0
venerate 崇敬，敬仰$0
vengeance 报仇，报复$0
vengeful 报复的，复仇心理的$0
venial 轻微的，可原谅的$0
venom 毒液；恶毒，痛恨$0
vent 发泄；开孔；孔，口$0
ventilate 使…通风，透风$0
ventriloquist 口技表演者，会口技的人$0
veracious 诚实的，说真话的$0
veracity 真实性；诚实$0
verbal 口头的$0
verbiage 啰嗦，冗长$0
verbose 冗长的，啰嗦的$0
verdant 青葱的，翠绿的$0
verdict 判决，决定$0
verdigris 铜锈，铜绿$0
verified 检验的，核实的$0
verify 证明，证实$0
verisimilar 好像真实的；可能的$0
veritable 确实的 ，名副其实的$0
vernacular 本国语，地方语$0
versatile 多才多艺的；多用途的$0
verse 诗歌$0
vertex 顶角；顶点$0
vertical 垂直的$0
vertigo 眩晕$0
verve 神韵；生机$0
vessel 血管；容器；船只$0
vestige 痕迹，遗迹$0
vestigial 退化的$0
vestment 法衣，官服$0
veteran 老兵，老手；经验丰富的$0
veterinary 兽医的$0
veto 否决；禁止$0
vex 恼火$0
vexation 困扰；苦恼$0
viability 生存能力，存活力$0
viable 可行的；能活下去的$0
viaduct 高架桥$0
vibrancy 生机勃勃，活泼$0
vibrant 振动的；明快的$0
vibrate 颤动，振动$0
vicar 教区牧师$0
vicarious 替代的，代理的$0
vicinity 附近；接近$0
vicious 残酷的，凶猛的$0
vicissitudinous 有变化的，变迁的$0
victimize 使受害，迫害$0
vie 竞争$0
vigilant 机警的，警惕的$0
vigorous 精力旺盛的，健壮的$0
vile 恶劣的，卑鄙的$0
vilify 辱骂，诽谤$0
vindicate 为…平凡$0
vindicative 报复性的$0
vintner 酒商$0
violate 违反，触犯$0
violet 紫罗兰的；紫罗兰$0
viral 病毒性的$0
virtual 实质上的，实际上的$0
virtuosity 精湛技巧，高超$0
virtuoso 演艺精湛的人$0
virtuous 有美德的；自命清高的$0
virulent 剧毒的；恶毒的$0
virus 病毒$0
viscid 黏性的$0
viscous 黏的$0
visionary 有远见的；幻想的；空想家$0
vista 远景；展望$0
vital 极其重要的；充满活力的$0
vitalize 激发活力$0
vitiate 削弱，损害$0
vitrify 使成玻璃$0
vitriolic 刻薄的$0
vituperate 痛斥，辱骂$0
vituperative 辱骂的$0
vivacious 活泼的，快活的$0
vivid 清晰的，鲜艳的；大胆的；活泼的；逼真的$0
vocalist 流行歌手，声乐家$0
vocation 擅长；工作，职业$0
vogue 时髦，时尚$0
void 空的，缺乏的；空隙，空处；空虚感$0
volatile 反复无常的；挥发性的$0
volition 决断力，意志$0
volley 齐发，群射；齐发，群射；截击$0
voluble 健谈的；易旋转的$0
voluminous 长篇的；多产的$0
voluptuous 撩人的；沉溺于酒色的$0
voracious 狼吞虎咽的，贪婪的$0
voracity 贪婪$0
votary 崇拜者，热心支持者$0
vouch 担保，证明$0
vulgar 无教养的$0
vulnerable 易受攻击的$0
vulture 秃鹰$0
vying 竞争的$0
waddle 摇摇摆摆地走$0
waffle 蛋奶烘饼；胡扯，唠叨$0
waft 飘浮，飘荡$0
wag 摆动；诙谐幽默者$0
wage 开始，进行$0
waggish 诙谐的，滑稽的$0
walrus 海象$0
wan 虚弱的；病态的$0
wanderlust 漫游癖，旅游热$0
wane 减少，衰微$0
want 缺乏，需要$0
wardrobe 衣橱；全部衣服$0
warehouse 仓库，货栈$0
warmonger 好战者，战争贩子$0
warp 翘起，弯曲$0
warrant 正当理由；许可证$0
warranted 保证的；凭正当理由的$0
warranty 保证；辩解；有正当理由；批准$0
wary 谨慎的，小心翼翼的$0
waste 使身体消瘦，损耗$0
wastrel 挥霍无度的人$0
watershed 分水岭，转折点$0
waver 摇摆，犹豫$0
wax 蜡；给…打蜡；盈，增大$0
wean 断奶；戒掉$0
wearisome 使人感到疲倦或厌倦的$0
weary 疲劳的，令人厌倦的；厌烦$0
weasel 黄鼠狼，鼬；逃避$0
weather 经受住，平安渡过危难$0
weed 杂草，野草；除草$0
weld 焊接，熔接；结合$0
sell-groomed 非常整洁的$0
welter 混乱，杂乱无章$0
wheedle 哄骗$0
whet 磨快；刺激$0
whiff 轻吹；轻风$0
whim 多变，怪念头$0
whimsical 古怪的，异想天开的$0
whimsy 古怪，异想天开$0
whine 哀号，号哭$0
whirlpool 漩涡$0
whisper 耳语，低声说话$0
whistle 口哨，口哨声；汽笛声；吹口哨$0
whittle 削；削减$0
wholesome 促进健康的$0
wick 蜡烛芯；灯芯$0
wicked 极坏的；淘气的$0
wield 支配，掌权$0
willful 任性的；故意的$0
willow 柳树$0
willowy 苗条的$0
wilt 使…凋谢，枯萎$0
wily 狡猾的$0
wince 避开，畏缩$0
windbag 饶舌之人$0
winding 蜿蜒的，迂回的$0
windy 有风的；长篇累牍的$0
wink 使眼色$0
winnow 把的杂质吹掉，扬去$0
winsome 媚人的，漂亮的$0
wistful 惆怅的；渴望的$0
wit 智力；机智$0
withdraw 撤退，收回；隐居$0
wither 枯萎，凋零$0
withhold 扣留，保留$0
withstand 顶住；经受住$0
witness 目击者；目击$0
witticism 妙语，俏皮话$0
wizened 干皱的，干巴巴的$0
wobble 动摇；犹豫$0
woe 悲痛，苦难$0
woo 向求爱；争取…的支持$0
worship 崇拜，敬仰$0
wrangler 口角者，争论者$0
wrench 扭，拧；扳钳，扳手$0
wretched 可怜的$0
wrinkle 皱纹；窍门$0
wrist 腕，腕关节$0
writ 命令状，书面命令$0
wrought 做成的，精炼的$0
wry 扭曲的；冷嘲性幽默的$0
xenophobe 惧外者$0
xerophyte 旱生植物$0
yacht 帆船，游艇$0
yarn 纱线$0
yawn 打呵欠$0
yearn 盼望，渴望$0
yeast 酵母；兴奋$0
yielding 弯曲自如的；柔顺的$0
yoke 牛轭；把…套上轭$0
yokel 乡巴佬$0
zealotry 狂热行为$0
zenith 天顶；极点$0
zephyr 和风；西风$0
zest 刺激性；热心，兴奋$0
zigzag 之字形；弯弯曲曲地行进$0
zone 分成区$0
abase 降低自己，贬抑，使卑下$0
abduct 绑架，拐走$0
abnegation 放弃；自我牺牲$0
aboriginal 原始居民，土著$0
abortive 无结果的，失败的$0
abound 充满；富于$0
abrupt 突然的，意外的；唐突的$0
abstinent 饮食有毒的，有节制的，禁欲的$0
acarpous 不结果实的$0
acerbity 涩，酸，刻薄$0
achromatic 非色彩的，无色的$0
acronym 首字母缩略表$0
actuarial 精算的，保险计算的$0
actuate 驱使，激励$0
addle 使腐坏；使混乱$0
adduce 给予；举出$0
adjudicate 充当裁判；判决$0
adlib 临时讲话，即兴表演$0
advert 注意，留意$0
aeronautics 航空学$0
aftermath 事件的后果，余波$0
agape 大张着的$0
aghast 惊骇的，吓呆的$0
ailment 疾病$0
albino 白化病者，白化变种$0
alliterate 押头韵$0
almond 杏树，杏仁$0
alms 施舍物，救济品$0
ambience 环境，气氛$0
ambrosial 芳香的，特别美味的$0
ambulatory 步行的$0
amethyst 紫水晶$0
amiss 有毛病地，出差错地$0
amoral 与道德无关的$0
amputate 截肢$0
anemic 贫血的，患贫血病的$0
anodyne 止痛药$0
antedate 写上较早日期；早于$0
anthropoid 像人类的；类人猿$0
aperture 孔隙，窄的缺口$0
apothegm 格言，警句$0
apotheosis 神话；典范$0
appendage 附加物$0
aquiline 鹰的，似鹰的$0
arachnid 蜘蛛类节肢动物$0
archer 弓箭手，射手$0
arraign 传讯；指责$0
artillery 大炮；炮兵$0
asinine 愚笨的$0
askance 侧目而视，瞟$0
askew 歪斜的$0
asphyxia 窒息$0
astigmatic 散光的，乱视的$0
atheism 无神论，不信神$0
atone 赎罪，补偿$0
attire 穿着；装饰；好衣服$0
attrition 摩擦，磨损$0
auger 螺丝钻，钻孔机$0
augmentation 增加$0
aureole 日冕，光轮$0
auricular 耳的$0
automation 自动装置$0
avowal 声明$0
avuncular 伯父的$0
azure 天蓝色；蔚蓝的$0
bacchanal 狂欢会$0
backslide 故态复萌$0
backwater 死水；闭塞地区$0
baffle 使困惑，难倒$0
balky 停止不前的；倔强的$0
bamboozle 欺骗，隐瞒$0
bandy 来回抛球；轻率谈论$0
baron 贵族；巨头$0
barrister 讼务；律师$0
bassoon 低音管，巴松管$0
bather 入浴者，浴疗者$0
bauble 花哨的小玩意儿；没价值的东西$0
bawl 大叫，大喊$0
beatific 祝福的，快乐的$0
beckon 召唤某人，示意$0
bedizen 把…装饰得艳丽而俗气$0
bedraggled 弄湿的；凌乱不堪的$0
beet 甜菜$0
befuddle 使迷惑，使为难；使酒醉昏迷$0
beget 产生，引起$0
beguile 欺骗，诱骗$0
behold 目睹，看见$0
beholden 感激某人的；欠人情的$0
belch 打嗝；喷出$0
belongings 所有物，财产$0
bemused 茫然的，困惑的$0
bereave 丧亲，夺去$0
berserk 狂怒的，疯狂的$0
betoken 预示，表示$0
bibulous 高度吸收的；嗜酒的$0
biennial 两年一次的$0
bilious 胆汁质的；坏脾气的$0
billow 巨浪；翻腾$0
blackball 投反对票以阻止$0
blackmail 敲诈，勒索$0
blare 高声鸣叫$0
blase 厌倦享乐的，冷漠的$0
bleachers 露天座位$0
bloated 肿胀的；傲慢的$0
blossom 花；开花$0
bludgeon 大头棒$0
bluff 虚张声势$0
bode 预示$0
boding 凶兆，前兆，预感；凶兆的$0
bohemian 放荡不羁的$0
bombardment 炮炸，炮轰$0
bonhomie 好性情，温和，和蔼$0
boo 作嘘声，嘘，用嘘声表示不满、蔑视或反对$0
botch 弄坏某事$0
bottleneck 瓶颈口，交通易阻塞的狭口$0
bough 粗大的树枝或树干$0
bounteous 慷慨的；丰富的$0
bovine 牛的；迟钝的$0
bowdlerize 删除，删改$0
bower 凉亭，树荫下凉快之处$0
brackish 略咸的；不好吃的$0
brattish 讨厌的，宠坏的，不礼貌的$0
brawny 强壮的$0
bray 大声而刺耳地发出$0
breezeway 有屋顶的通路$0
brim 边，缘；盈满$0
brindled 有棕色斑纹的$0
brocade 织锦$0
broil 烧烤$0
brooch 胸针$0
browse 吃嫩叶或草；嫩叶；嫩芽$0
bubble 起泡；气泡，水泡$0
buckle 皮带扣环；扣紧$0
buffer 缓冲，为…充当缓冲器$0
bugaboo 吓人的东西；妖怪$0
buggy 轻型马车；婴儿车$0
bullion 金条，银条$0
bumble 说话含糊；拙劣地做$0
bump 碰撞；碰撞声$0
burrow 挖掘，钻进，翻寻$0
buxom 体态丰满的$0
cachet 赞同的标志，优越的标志；印章；胶囊$0
cactus 仙人掌$0
cadaver 尸体$0
cadence 抑扬顿挫；节奏，韵律$0
calibre 口径；品德，才能$0
callus 老茧，胼胝$0
canard 谣言，假新闻$0
canker 溃疡病；祸害$0
cantata 清唱剧，大合唱$0
capacious 容量大的，宽敞的$0
caper 雀跃，欢蹦$0
capitalize 资本化，获利，利用$0
capitation 人头税$0
capsize 使船翻；倾覆$0
carat 克拉；开$0
careen 倾斜；使倾斜$0
carnage 大屠杀，残杀$0
carpentry 木工工作$0
cascade 小瀑布$0
cautionary 劝人谨慎的，警戒的$0
cavalcade 骑兵队伍$0
celerity 快速，迅速$0
celibate 独身者$0
cemetery 坟墓，公墓$0
centrifugal 离心的$0
centripetal 向心的$0
cephalic 头的，头部的$0
chasten 改正；磨练$0
checkered 盛衰无常的$0
chic 漂亮的，时髦的$0
chirp 唧唧叫$0
chore 家务琐事；讨厌的工作$0
chortle 开心地笑$0
chunk 短厚块状物；大量$0
ciliate 有纤毛的；有睫毛的$0
cineaste 影迷，热衷于电影的人$0
circumlocutory 委婉曲折的，迂回的$0
citation 引证，引用文，传票$0
clairvoyant 透视的，有洞察力的$0
clench 握紧；咬紧$0
cliche 陈腐的$0
closed-minded 倔强的，顽固的$0
closure 关闭；终止$0
cloy 生腻，吃腻$0
coffer 保险柜$0
cognate 同词源的；同类的$0
cognomen 姓，名字$0
colloquy 交谈，会谈$0
colt 小熊驹；新手$0
comestible 食物，食品；可吃的$0
commiserate 同情，怜悯$0
complexion 肤色；外表特征$0
complicity 合谋，串通$0
comport 举止$0
compulsory 强制性的，命令性的$0
concentric 有同一中心的$0
concoct 调制；捏造$0
condign 罪有应得的；适宜的$0
condiment 调味品，作料$0
condole 向…吊慰$0
condor 秃鹰；神鹰$0
confidant 心腹朋友，知己，密友$0
congenital 先天的，天生的$0
conjugal 婚姻的，夫妻之间的$0
connubial 婚姻的，夫妻的$0
consecrate 用作祭祀，献给；使神圣$0
consonance 一致，调和；和音$0
consort 结交，配对；配偶$0
conspectus 概要，大纲$0
constringe 使收缩，使收敛，压缩$0
contumacy 抗命，不服从$0
contumely 无礼，傲慢$0
convene 集合$0
convoy 护航，护送$0
cordial 热诚的；兴奋剂$0
cornet 短号；圆锥形蛋卷$0
corny 平淡无奇的；乡巴佬的$0
corporal 肉体的，身体的$0
corpulent 肥胖的$0
corpus 全集，全部资料$0
coruscate 闪亮$0
cosy(cozy) 温暖而舒适的$0
counterpoise 平均，平衡$0
coven 女巫的集会$0
crafty 狡诈的；熟练的$0
crag 悬崖，峭壁$0
credo 信条$0
crepuscular 朦胧的，微明的$0
crevice 缺口，裂缝$0
crinkle 变皱；皱纹$0
cripple 跛子；残废$0
croon 低声歌唱$0
crotchety 脾气坏的$0
crypt 地下室，地窖$0
cuddle 搂抱，拥抱$0
cuff 袖口$0
culprit 犯罪者$0
cumber 拖累，妨碍$0
curd 凝乳$0
curfew 宵禁$0
currish 下贱的；杂种的$0
cursive 草书的$0
curvaceous 婀娜多姿的；曲线的$0
cygnet 小天鹅$0
cynosure 注意的焦点$0
dalliance 虚度光阴；调情$0
damn 严厉地批评，谴责；该死的$0
damper 起抑制作用的因素；节气阀，断音装置$0
dangle 摇摆，悬荡；悬而未定，使不定地悬着或一直没有解决$0
dank 阴湿的，阴冷的$0
dastard 懦夫，胆小的人$0
daub 涂抹；乱画$0
daubster 拙劣的画家$0
daze 使茫然，使眩晕$0
debar 阻止$0
debility 衰弱，虚弱$0
debonair 迷人的；友好的$0
decamp 离营；匆忙而秘密地离开$0
decant 轻轻倒出$0
decentralize 分散，权力下放$0
declassify 撤销保密$0
declination 倾斜；衰微$0
decoy 诱骗$0
decree 命令，法令；颁布命令$0
defalcate 盗用公款$0
defame 诽谤，中伤$0
defoliant 脱叶剂，落叶剂$0
defoliate 落叶$0
deforest 采伐森林，清除树林$0
defray 付款$0
defunct 死亡的$0
delectation 享受，愉快$0
demarcate 划分，划界$0
demeanour 举止，行为$0
demented 疯狂的$0
demure 严肃的，矜持的$0
denominate 命名，取名$0
denunciate 公开指责，公然抨击，谴责$0
deportment 风度，举止$0
deposit 存放；使淤积$0
depredation 劫掠，蹂躏$0
depressant 有镇静作用的；镇静剂$0
depute 派…为代表或代理$0
deputize 代替某人行事或说话$0
derangement 精神错乱$0
desalinize 除去盐分$0
desideratum 必需品$0
designate 指明，指出；任命，指派；已任命但还未就职的$0
desirous 渴望的$0
desolate 荒凉的，被遗弃的$0
desperado 亡命之徒$0
despoil 夺取，抢夺$0
destitute 贫乏的；穷困的$0
destructible 可破坏的$0
desuetude 废止，不用$0
detestable 嫌恶的，可憎的，可厌恶的$0
detonate 爆炸，引爆$0
detract 减去，贬低；转移$0
devolve 移交给某人$0
diabolic 恶魔的；魔鬼性格的$0
dictator 独裁者$0
dictum 格言，声明$0
dietetics 饮食学，营养学$0
dignitary 显要人物$0
dilapidation 破旧，荒废$0
diminuendo 渐弱$0
diocesan 主教管区的$0
dipsomania 嗜酒症$0
disavow 否认，否定，抵赖$0
disband 解散$0
disclaimer 否认，拒绝$0
disembody 使脱离实体，使脱离现实$0
disfranchise 剥夺…的权利$0
dishearten 使…灰心$0
dishevel 使蓬乱，使头发凌乱$0
disheveled 凌乱的$0
disintegrate 分裂成小片，瓦解$0
disport 玩耍，嬉戏$0
disquisition 长篇演讲，专题论文$0
dissection 解剖，剖析$0
dissociate 分离，游离，分裂$0
distain 贬损，伤害名誉$0
distal 远离中心的，末梢的$0
distention 膨胀$0
distrait 心不在焉的$0
ditch 沟，沟渠，壕沟$0
divagate 离题；飘泊$0
dock 剪短$0
doggo 隐藏着$0
dotage 老年糊涂；溺爱$0
double-cross 欺骗，出卖$0
dowdy 不整洁的，过旧的$0
dowry 嫁妆，妆奁$0
doze 瞌睡，假寐$0
dribble 往下滴、淌$0
drollery 笑谈，滑稽$0
ductile 易拉长的，易变形的；可塑的$0
dulcet 美妙的$0
dullard 愚人，笨蛋$0
dumbfound 使…惊讶发愣$0
dunce 笨人$0
eaglet 小鹰$0
earthshaking 极其重大或重要的$0
ecdysis 蜕皮；换羽毛$0
eclat 辉煌成就$0
eclogue 田园诗，牧歌$0
ecumenical 世界范围的$0
edict 法令；命令$0
eerie 可怕的，阴森恐怖的$0
effeminate 缺乏勇气的，柔弱的$0
effigy 模拟像$0
egoism 利己主义$0
ejaculate 突然叫出或说出$0
electorate 选民，选区；有选举权者$0
elixir 万灵药，长生不老药$0
emasculate 削弱；阉割；柔弱的$0
embankment 堤岸，路基$0
embitter 使痛苦，使难受$0
emblazon 以纹章或其他方式装饰$0
embodiment 化身，体现$0
embroil 牵连，卷入纠纷$0
embryonic 胚胎的；萌芽期的$0
emerald 翡翠；翠绿色的$0
emolument 报酬，薪水$0
empyrean 天空，天神居处$0
encipher 译成密码$0
encyclopedic 广博的，知识渊博的$0
endue 赋予$0
engrossment 正式誊写的文件；专注$0
ennoble 授予爵位，使高贵$0
enshrine 奉为神圣$0
enslave 奴役$0
ensnare 诱入陷阱，进入罗网$0
enthrall 迷惑，迷住$0
entourage 随从；环境$0
entrench 挖壕沟；确立$0
entwine 使缠绕，交织$0
environs 郊外，郊区$0
envisage 正视；想像$0
epicurean 好享乐的；享乐主义的$0
episode 一段情节$0
equestrian 骑师；骑马的$0
escort 护送；护送者$0
estrange 使疏远$0
estuary 河口，三角洲$0
eugenic 优生的$0
even-tempered 性情平和的；不易生气的$0
everlasting 永恒的，持久的，无止境的，耐用的$0
eviscerate 取出肠及内脏$0
exceptionable 引起反感的$0
excerpt 摘录，选录，节录$0
exchequer 国库；财源$0
excogitate 认真想出$0
excruciate 施酷刑，拷问，折磨$0
execration 憎恨，厌恶$0
exhume 掘出，挖掘$0
exiguous 太少的，不足的$0
expatiate 细说，详述$0
expatriate 驱逐出国$0
expiation 赎罪，补偿$0
explicable 可解释的$0
expropriate 充公；没收$0
expulsion 驱逐，开除$0
extradite 引渡回国，拿获归案$0
extrinsic 外来的，外在的，外部的$0
extrude 挤出，逐出；突出$0
exultant 非常高兴的，欢跃的$0
fabulous 难以置信的；寓言里的$0
facsimile 复制本，摹本$0
factitious 人为的，不真实的$0
fag 若干；苦工$0
fail-safe 自动防故障装置$0
fainthearted 懦弱的，无精神的；胆小的$0
fake 伪造；佯装$0
falsify 篡改；说谎$0
fanfare 夸耀性游行；嘹亮的喇叭声$0
fantasia 幻想曲；组合乐曲$0
farrow 生产；一窝小猪$0
fascia 饰带；招牌$0
fascinate 迷惑，迷住$0
fealty 效忠$0
febrile 发烧的，热病的$0
feisty 活跃的；易怒的$0
felicitate 祝贺，庆祝$0
feline 猫科的$0
fencing 剑术，击剑法$0
ferocious 凶猛的，残暴的$0
ferry 渡船，渡口；运送$0
festal 节日的；欢乐的$0
fetish 神物，偶像$0
fiend 恶魔；魔鬼$0
filament 灯丝；细丝$0
filch 偷$0
filial 子女的$0
fillet 束发带；鱼肉片$0
finable 应罚款的$0
finery 华丽、优雅的服装或装饰$0
firebrand 燃烧的木块；引起动乱的人$0
fishery 渔场；渔业$0
fissile 易分裂的$0
fitful 一阵阵的；不安的$0
flabby 松软的；意志薄弱的$0
flagellate 鞭打，鞭笞$0
flair 天赋，本领，才华$0
flannel 法兰绒$0
flatulence 肠胃气胀$0
flavoring 香料，调味品$0
flay 剥皮；榨取；严厉指责$0
fleck 斑点；微粒$0
fleece 生羊皮，羊毛；骗取$0
fleet 快速的；消磨，疾驰；飞逝，掠过$0
flick 轻打，轻弹$0
flicker 闪烁，摇曳$0
floppy 松软的；衰弱的$0
florescence 繁花时期$0
flunk 考试不及格$0
fodder 草料$0
fondle 抚弄，抚摸$0
foothold 立足点，根据地$0
footle 胡闹；浪费$0
fop 花花公子$0
foray 突袭，偷袭$0
forebear 祖宗，祖先$0
