a art.一(个)；每一(个)$0
nearby a.附近的 ad.在附近$0
nearly ad.差不多；密切地$0
neat a.整洁的；熟练的$0
necessarily ad.必然，必定$0
necessary a.必要的；必然的$0
necessity n.必要性；必然性$0
neck n.颈，脖子$0
necklace n.项链，项圈$0
need vt.需要 v.aux.需要$0
needle n.针，缝补，编织针$0
needless a.不需要的$0
negative a.否定的；消极的$0
neglect vt.忽视，忽略；疏忽$0
Negro n.黑人$0
neighbour n.邻居，邻国，邻人$0
neighbourhood n.邻居关系；邻近$0
neither a.(两者)都不的$0
nephew n.侄子，外甥$0
nerve n.神经；勇敢，胆量$0
nervous a.神经的；易激动的$0
nest n.巢，窝，穴$0
net n.网，网状物；通信网$0
network n.网状物；网络$0
neutral a.中立的；中性的$0
never ad.永不，决不；不$0
nevertheless conj.然而 ad.仍然$0
new a.新的；新近出现的$0
newly ad.新近，最近$0
news n.新闻，消息$0
newspaper n.报纸，报$0
next a.紧接的；贴近的$0
nice a.美好的，令人愉快的$0
niece n.侄女，外甥女$0
night n.夜，夜间$0
nine num.九，九个$0
nineteen num.十九，十九个$0
ninety num.九十，九十个$0
ninth num.第九；九分之一$0
nitrogen n.氮$0
no ad.不；并不 a.没有$0
noble a.贵族的；高尚的$0
nobody pron.谁也不；无人$0
nod vt.点(头)；点头表示$0
noise n.喧闹声；响声；噪声$0
noisy a.嘈杂的；喧闹的$0
none pron.没有人 ad.毫不$0
nonsense n.胡说，废话$0
noon n.正午，中午$0
nor conj.也不；不$0
normal a.正常的，普通的$0
normally ad.通常，正常地$0
north n.北，北方 a.北方的$0
northeast n.东北 a.位于东北的$0
northern a.北方的，北部的$0
northwest n.西北 a.位于西北的$0
nose n.鼻子；突出部分$0
not ad.不，没有$0
note n.笔记；便条；注释$0
notebook n.笔记本，期票簿$0
nothing n.没有东西 ad.毫不$0
notice vt.注意 n.通知；注意$0
noticeable a.显而易见的；重要的$0
noun n.名词$0
novel n.小说 a.新的$0
November n.十一月$0
now ad.现在；立刻；于是$0
nowadays ad.现今，现在$0
nowhere ad.任何地方都不$0
nuclear a.原子核的；核心的$0
nucleus n.核，核心；(原子)核$0
nuisance n.讨厌的东西$0
number n.数，数字；号码$0
numerous a.为数众多的；许多$0
nurse n.保姆；护士 vt.看护$0
nursery n.托儿所；苗圃$0
nut n.坚果，干果；螺母$0
nylon n.尼龙，耐纶$0
oak n.栎属植物；栎木$0
oar n.浆，橹$0
obey vt.顺从 vi.服从$0
object n.物，物体；目的$0
object vi.反对；抱反感$0
objection n.反对，异议；不喜欢$0
objective a.客观的；无偏见的$0
oblige vt.迫使；施恩惠于$0
observation n.注意；观察；观察力$0
observe vt.遵守；看到；说$0
observer n.观察员，观测者$0
obstacle n.障碍，障碍物，妨害$0
obtain vt.获得，得到，买到$0
obvious a.明显的，显而易见的$0
obviously ad.明显地，显然地$0
occasion n.场合，时刻；时机$0
occasional a.偶然的；临时的$0
occasionally ad.偶然；非经常地$0
occupation n.占领，占据；职业$0
occupy vt.占领；占，占有$0
occur vi.发生；出现，存在$0
occurrence n.发生，出现；事件$0
ocean n.海洋；洋$0
Oceania n.大洋洲$0
o'clock ad.…点钟$0
October n.十月$0
odd a.奇数的；单只的$0
odour n.气味，香气；味道$0
of prep.…的；由于$0
off ad.(离)开；(停)止$0
offend vt.冒犯 vi.犯过错$0
offer vt.提供；提出 n.提供$0
office n.办公室；处，局，社$0
officer n.官员；干事；军官$0
official a.官员的；官方的$0
often ad.经常，常常$0
oh int.嗬，哦，唉呀$0
oil n.油；石油 vt.加油于$0
okay (缩作OK)a.&ad.对，好$0
old a.老的；…岁的$0
omit vt.省略，省去；遗漏$0
on prep.在…上；在…旁$0
once ad.一次；曾经 n.一次$0
one num.一 pron.一个人$0
oneself pron.自己；亲自$0
onion n.洋葱，洋葱头$0
only ad.只，仅仅 a.唯一的$0
onto prep.到…上$0
open a.开的；开放的 vt.开$0
opening a.开始的 n.开始$0
opera n.歌剧$0
operate vi.操作；施行手术$0
operation n.操作；手术；运算$0
operational a.操作上的；可使用的$0
operator n.操作人员，接线员$0
opinion n.意见，看法，主张$0
opponent n.对手，敌手；对抗者$0
opportunity n.机会，良机$0
oppose vt.反对；反抗$0
opposite a.对面的 n.对立物$0
oppress vt.压迫，压制；压抑$0
optical a.眼的；光学的$0
optimistic a.乐观的；乐观主义的$0
option n.选择，选择权$0
optional a.可以任意选择的$0
or conj.或，或者；即$0
oral a.口头的；口的$0
orange n.橙(树)；柑(树)$0
orbit n.运行轨道 vt.环绕$0
orchestra n.管弦乐队$0
order n.次序；整齐 vt.命令$0
orderly a.整洁的；有秩序的$0
ordinary a.平常的；平凡的$0
ore n.矿，矿石，矿砂$0
organ n.器官；机构；管风琴$0
organic a.有机体的；器官的$0
organism n.生物体；有机体$0
organization n.组织；团体，机构$0
organize vt.组织，编组$0
oriental a.东方的；东方国家的$0
origin n.起源，由来；出身$0
original a.最初的；新颖的$0
ornament n.装饰物；装饰$0
orphan n.孤儿$0
other a.另外的；其余的$0
otherwise ad.另外；要不然$0
ought v.aux.应当，应该$0
ounce n.盎司，英两$0
our pron.我们的$0
ours pron.我们的$0
ourselves pron.我们自己$0
out ad.出，在外；现出来$0
outcome n.结果，后果，成果$0
outdoor a.户外的，室外的$0
outdoors ad.在户外，在野外$0
outer a.外部的，外面的$0
outlet n.出口，出路；排遣$0
outline n.轮廓；略图；大纲$0
outlook n.观点，看法；展望$0
output n.产量；输出量；输出$0
outset n.开始，开端$0
outside n.外部；外表a.外部的$0
outskirt n.外边，郊区$0
outstanding a.突出的，杰出的$0
outward a.外面的；向外的$0
outwards ad.向外，往海外$0
oven n.炉，灶；烘箱$0
over prep.在…上方；超过$0
overall n.工装裤 a.全面的$0
overcoat n.外衣，大衣$0
overcome vt.战胜，克服$0
overhead a.在头顶上的；架空的$0
overlook vt.眺望；看漏；放任$0
overnight ad.一夜；突然$0
overseas ad.海外 a.在海外的$0
overtake vt.追上，赶上；压倒$0
overtime a.超时的，加班的$0
owe vt.欠；应把…归功于$0
owl n.猫头鹰，枭$0
own a.自己的 vt.有，拥有$0
owner n.物主，所有人$0
ownership n.所有(权)，所有制$0
ox n.牛；公牛，阉牛 $0
phase n.阶段；方面；相位$0
phenomenon n.现象$0
philosopher n.哲学家$0
philosophy n.哲学；哲理；人生观$0
phone n.电话，电话机；耳机$0
photograph n.照片，相片$0
photographic a.摄影的，摄影用的$0
phrase n.短语；习惯用语$0
physical a.物质的；物理的$0
physician n.医生，内科医生$0
physicist n.物理学家$0
physics n.物理学$0
piano n.钢琴$0
pick n.镐，鹤嘴锄$0
pick vt.拾，摘 vi.采摘$0
picnic n.郊游，野餐 vi.野餐$0
picture n.画，图片 vt.画$0
pie n.(西点)馅饼$0
piece n.碎片，块 vt.拼合$0
pierce vt.剌穿 vi.穿入$0
pig n.猪，小猪，野猪$0
pigeon n.鸽子$0
pile n.堆 vt.堆叠，累积$0
pill n.药丸，丸剂$0
pillar n.柱，柱子；栋梁$0
pillow n.枕头$0
pilot n.领航员；飞行员$0
pin n.针，饰针 n.别住$0
pinch vt.捏，拧，掐掉$0
pine n.松树，松木$0
pink n.粉红色 a.粉红色的$0
pint n.品脱$0
pioneer n.拓荒者；先驱者$0
pipe n.管子，导管；烟斗$0
pipeline n.管道，管线$0
pistol n.手枪$0
pit n.坑，地坑；煤矿$0
pitch n.沥青$0
pitch vt.投，掷 vi.投掷$0
pity n.怜悯；遗憾 vt.同情$0
place n.地方，地点；住所$0
plain n.平原 a.清楚的$0
plan n.&vt.计划，打算$0
plane n.平面；飞机$0
planet n.行星$0
plant n.植物；工厂 vt.栽种$0
plantation n.种植园；栽植$0
plaster n.灰泥；硬膏；熟石膏$0
plastic a.可塑的 n.塑料$0
plate n.板，片，盘 vt.电镀$0
platform n.平台；站台；讲台$0
play vi.玩，游戏；演奏$0
player n.游戏的人；比赛者$0
playground n.操场，运动场$0
pleasant a.令人愉快的，舒适的$0
please vt.使高兴，请vi.满意$0
pleasure n.愉快，快乐；乐事$0
plentiful a.丰富的，富裕的$0
plenty n.丰富，充足，大量$0
plot n.小块土地 vt.密谋$0
plough n.犁 vt.&vi.犁，耕$0
pluck vt.采，摘；拉下 n.拉$0
plug n.塞子；插头 vt.塞$0
plunge vt.使投入；使陷入$0
plural a.复数的 n.复数$0
plus prep.加，加上 a.正的$0
P.M. n.下午，午后$0
pocket n.衣袋 n.袖珍的$0
poem n.诗，韵文，诗体文$0
poet n.诗人$0
poetry n.诗，诗歌，诗作$0
point n.点；要点；细目；分$0
poison n.毒，毒药 vt.毒害$0
poisonous a.有毒的，有害的$0
pole n.杆，柱$0
pole n.极(点)，磁极，电极$0
police n.警察；警察当局$0
policeman n.警察$0
policy n.政策，方针$0
polish vt.磨光；使优美$0
polite a.有礼貌的；有教养的$0
political a.政治的，政治上的$0
politician n.政治家；政客$0
politics n.政治，政治学；政纲$0
pollute vt.弄脏，污染，沾污$0
pollution n.污染$0
pond n.池塘$0
pool n.水塘，游泳池，水池$0
pool n.共用物 vt.共有$0
poor a.贫穷的；贫乏的$0
pop n.流行音乐，流行歌曲$0
pop n.砰的一声，爆破声$0
popular a.民众的；流行的$0
population n.人口；全体居民$0
porch n.门廊，入口处$0
pork n.猪肉$0
porridge n.粥，麦片粥$0
port n.港，港口$0
portable a.轻便的；手提的$0
porter n.搬运工人$0
portion n.一部分；一分$0
portrait n.消像，画像$0
Portuguese n.葡萄牙人；葡萄牙语$0
position n.位置；职位；姿势$0
positive a.确定的；积极的$0
possess vt.占用，拥有(财产)$0
possession n.有，所有；占有物$0
possibility n.可能；可能的事$0
possible a.可能的；可能存在的$0
possibly ad.可能地；也许$0
post n.柱，桩，杆 vt.贴出$0
post n.邮政，邮寄；邮件$0
post n.岗位，哨所；职位$0
postage n.邮费，邮资$0
postman n.邮递员$0
postpone vt.延迟，推迟，延缓$0
pot n.锅，壶，罐，盆$0
potato n.马铃薯，土豆$0
potential a.潜在的 n.潜力$0
pound n.磅；英磅$0
pound vt.捣碎；舂烂；猛击$0
pour vt.灌，倒 vi.倾泻$0
poverty n.贫穷，贫困$0
powder n.粉末；药粉；火药$0
power n.能力；力；权；幂$0
powerful a.强有力的；有权威的$0
practical a.实践的；实用的$0
practically ad.实际上；几乎$0
practice n.实践；练习；业务$0
practise vt.练习，实习，训练$0
praise n.赞扬，赞美 vi.赞扬$0
pray vt.&vi.请求；祈祷$0
prayer n.祈祷，祈求$0
precaution n.预防；警惕$0
preceding a.在前的；在先的$0
precious a.珍贵的，宝贵的$0
precise a.精确的，准确的$0
precision n.精确，精密，精密度$0
predict v.预言，预告，预测$0
preface n.序言，前言，引语$0
prefer vt.宁可，宁愿$0
preferable a.更可取的，更好的$0
preference n.偏爱，优先；优先权$0
prejudice n.偏见，成见$0
preliminary a.预备的，初步的$0
premier n.总理，首相$0
preparation n.准备，预备；制备$0
prepare vt.&vi.准备，预备$0
preposition n.前置词，介词$0
prescribe vt.命令；处(方)$0
presence n.出席，到场；在$0
present a.现在的 n.目前$0
present vt.赠送; 介绍; 提出$0
present n.礼物，赠送物$0
presently ad.一会儿；目前$0
preserve vt.保护；保存；腌渍$0
president n.总统；校长；会长$0
press vt.压，按，揿；催促$0
pressure n.压力；压力；压，按$0
pretend vt.假托，借口vi.假装$0
pretty a.漂亮的，标致的$0
prevail vi.胜，优胜；流行$0
prevent vt.预防，防止；阻止$0
previous a.先的；前的 ad.在前$0
previously ad.先前，预先$0
price n.价格，价钱；代价$0
pride n.骄傲；自豪 vt.自夸$0
priest n.教士，牧师，神父$0
primarily ad.首先；主要地$0
primary a.最初的；基本的$0
prime a.首要的 n.春，青春$0
primitive a.原始的；粗糙的$0
prince n.王子，亲王$0
princess n.公主，王妃$0
principal a.主要的 n.负责人$0
principle n.原则，原理；主义$0
print vt.印刷 n.印刷；正片$0
prior a.在先的；优先的$0
prison n.监狱，监禁$0
prisoner n.囚犯$0
private a.私人的；私下的$0
privilege n.特权，优惠$0
prize n.奖赏，奖金 vt.珍视$0
probability n.可能性；概率$0
probable a.或有的；大概的$0
probably ad.或许，大概$0
problem n.问题；习题，问题$0
procedure n.程序；手续；过程$0
proceed vi.进行；继续进行$0
process n.过程；工序 vt.加工$0
procession n.队伍，行列$0
proclaim vt.宣告，宣布；表明$0
produce vt.生产；产生；展现$0
product n.产品，产物；(乘)积$0
production n.生产；产品；总产量$0
productive a.生产的；丰饶的$0
profession n.职业$0
professional a.职业的 n.专业人员$0
professor n.教授$0
profit n.益处；利润 vi.得益$0
program n.节目单；大纲；程序$0
progress n.前进，进展；进步$0
progressive a.进步的；向前进的$0
prohibit vt.禁止，阻止$0
project n.方案，工程 vi.伸出$0
prominent a.实起的；突出的$0
promise n.诺言；指望 vt.允诺$0
promising a.有希望的；有前途的$0
promote vt.促进，发扬；提升$0
prompt a.及时的 vt.敦促$0
pronoun n.代名词$0
pronounce vt.发…的音；宣布$0
pronunciation n.发音，发音法$0
proof n.证据；证明；校样$0
proper a.适合的；合乎体统的$0
properly ad.适当地；彻底地$0
property n.财产，资产；性质$0
proportion n.比，比率，部分$0
proportional a.比例的；相称的$0
proposal n.提议，建议；求婚$0
propose vt.提议 vi.求婚$0
prospect n.展望；前景，前程$0
prosperity n.繁荣；昌盛，兴旺$0
prosperous a.繁荣的，昌盛的$0
protect vt.保护，保卫，警戒$0
protection n.保护，警戒$0
protective a.保护的，防护的$0
protein n.蛋白质，朊$0
protest vt.&vi.&n.抗议$0
proud a.骄傲的；自豪的$0
prove vt.证明 vi.结果是$0
provide vt.提供；装备，供给$0
provided conj.以…为条件$0
province n.省；领域，部门$0
provision n.供应；预备；存粮$0
psychological a.心理的，心理学的$0
public a.公众的 n.公众$0
publication n.公布；出版；出版物$0
publish vt.公布；发表；出版$0
pudding n.布丁$0
puff n.(一)喷，(一)吹$0
pull vt.拉，拖；拉，拉力$0
pulse n.脉搏；脉冲，脉动$0
pump n.泵 vt.用抽机抽$0
punch vt.冲出 n.冲压机$0
punch vt.用拳猛击 n.拳打$0
punctual a.严守时刻的；准时的$0
punish vt.罚，惩罚，处罚$0
punishment n.罚，惩罚，处罚$0
pupil n.学生，小学生$0
pupil n.瞳孔$0
puppet n.木偶，玩偶；傀儡$0
purchase n.买，购买 vt.买$0
pure a.纯粹的；纯洁的$0
purely ad.纯粹地，完全地$0
purify vt.使纯净，使洁净$0
purity n.纯净；纯洁；纯度$0
purple n.紫色 a.紫的$0
purpose n.目的；意图；效果$0
purse n.钱包，小钱袋，手袋$0
pursue vt.追赶，追踪；进行$0
pursuit n.追赶；追求；事务$0
push vt.推，逼迫 vi.推$0
put vt.放，摆；使处于$0
puzzle n.难题；谜 vi.使迷惑$0
qualify vt.使具有资格$0
quality n.质量；品质，特性$0
quantity n.量，数量，分量$0
quarrel n.争吵，吵架，口角$0
quart n.夸脱(=2品脱)$0
quarter n.四分之一；一刻钟$0
quarterly a.季度的 ad.季度地$0
queen n.王后；女王$0
queer a.奇怪的，古怪的$0
question n.发问；问题；疑问$0
queue n.行列 vi.排队等候$0
quick a.快的；敏捷的$0
quicken vt.加快 vi.加快$0
quickly ad.快，迅速$0
quiet a.寂静的；安静的$0
quilt n.被(子)$0
quit vt.离开，退出；停止$0
quite ad.完全；相当；的确$0
quiz n.小型考试，测验$0
quotation n.引用；引文；报价单$0
quote vt.引用，引证；报价$0
rabbit n.兔子，野兔$0
race n.比赛，竞赛，竞争$0
race n.人种，种族，民族$0
racial a.种族的，人种的$0
rack n.搁物架；行李架$0
rack vt.使苦痛，折磨$0
racket n.球拍$0
radar n.雷达，无线电探测器$0
radiate vi.发射光线；辐射$0
radiation n.放射，发射；辐射能$0
radio n.无线电；收音机$0
radioactive a.放射性的$0
radioactivity n.放射性，放射(现象)$0
radish n.小萝卜$0
radium n.镭$0
radius n.半径$0
rag n.破布，碎布，抹布$0
rage n.(一阵)狂怒，盛怒$0
raid n.袭击；突然搜查$0
rail n.横条，横杆；铁轨$0
railroad n.铁路 vi.由铁路运输$0
railway n.铁路，铁道$0
rain n.雨，雨水 vi.下雨$0
rainbow n.虹，彩虹$0
rainy a.下雨的，多雨的$0
raise vt.举起；引起；提高$0
rake n.耙子 vi.耙；搜索$0
range n.排，行；山脉；范围$0
rank n.排，横行；社会阶层$0
rapid a.快的 n.急流$0
rapidly ad.迅速地$0
rare a.稀薄的；稀有的$0
rarely ad.很少，难得$0
rat n.老鼠，耗子$0
rate n.比率；速度；价格$0
rather ad.宁可，宁愿；相当$0
ratio n.比，比率$0
rational a.理性的；出于理性的$0
raw a.未煮过的；未加工的$0
ray n.光线，射线，辐射线$0
razor n.剃刀$0
reach vt.抵达；伸出vi.达到$0
react vi.起反应；有影响$0
reaction n.反应；反作用$0
read vt.读，看懂 vi.读$0
reader n.读者；读物，读本$0
readily ad.乐意地；无困难地$0
reading n.读，阅读；读书$0
ready a.准备好的；愿意的$0
real a.真的；现实的$0
reality n.现实；真实$0
realize vt.实现；认识到$0
really ad.真正地；实在$0
realm n.王国，国土；领域$0
reap vt.&vi.收割，收获$0
rear n.后部，后面；背面$0
rear vt.抚养，培养；栽种$0
reason n.理由；理性 vi.推理$0
reasonable a.合情合理的；公道的$0
rebel vi.造反 n.造反者$0
rebellion n.造反；叛乱；反抗$0
recall vt.回想；叫回；收回$0
receipt n.收到；收条，收据$0
receive vt.收到；得到；接待$0
receiver n.收受者，收件人$0
recent a.新近的，最近的$0
recently ad.最近，新近$0
reception a.接待；招待会；接受$0
recite vt.&vi.背诵，朗诵$0
recognition n.认出，识别；承认$0
recognize vt.认识，认出；承认$0
recollect vt.回忆，追忆，想起$0
recommend vt.推荐，介绍；劝告$0
recommendation n.推荐，介绍；劝告$0
record n.记录；履历 vt.记录$0
recorder n.记录者；录音机$0
recover vt.重新获得；挽回$0
recovery n.重获；痊愈，恢复$0
red a.红色的 n.红色$0
reduce vt.减少，减小；简化$0
reduction n.减少，减小，缩减$0
reed n.芦苇，芦杆，芦丛$0
reel n.卷轴，卷筒$0
refer vt.使求助于 vi.谈到$0
reference n.参考；出处；提及$0
refine vt.&vi.精炼，提纯$0
reflect vt.反射；反映；思考$0
reflection n.反射；映象；反映$0
reflexion n.反射；映象；反映$0
reform vt.&n.改革，改良$0
refresh vt.使清新vi.恢复精神$0
refreshment n.茶点，点心，便餐$0
refrigerator n.冰箱，冷藏库$0
refuge n.避难，庇护；庇护者$0
refusal n.拒绝$0
refuse vt.拒绝 vt.拒绝$0
refute vt.驳斥，反驳，驳倒$0
regard vt.把…看作；尊敬$0
regarding prep.关于$0
regardless ad.不顾一切地$0
region n.地区，地带；领域$0
register n.&vt.登记，注册$0
regret vt.懊悔；抱歉 n.懊悔$0
regular a.规则的；整齐的$0
regularly ad.有规律地$0
regulate vt.管理，控制；调整$0
regulation n.规则，规章；管理$0
rehearsal n.排练，排演；练习$0
reign n.君主统治；支配$0
rein n.缰绳 vi.驾驭，控制$0
reinforce vt.增援，支援；加强$0
reject vt.拒绝；丢掉；驳回$0
rejoice vi.欣喜，高兴$0
relate vt.叙述；使联系$0
relation n.关系，联系；家属$0
relationship n.关系，联系$0
relative a.有关系的；相对的$0
relatively ad.相对地，比较地$0
relativity n.相关性；相对性$0
relax vt.使松弛 vi.松弛$0
release vt.释放；放松；发表$0
relevant a.有关的，贴切的$0
reliability n.可*性$0
reliable a.可*的，可信赖的$0
reliance n.信任，信赖，信心$0
relief n.减轻；救济；援救$0
relieve vt.减轻，解除；救济$0
religion n.宗教；宗教信仰$0
religious a.宗教的；虔诚的$0
reluctant a.不愿的，勉强的$0
rely vi.依赖，依*；信赖$0
remain vi.剩下，余留；保持$0
remains n.残余，余额；废墟$0
remark vt.&vi.&n.评论，谈论$0
remarkable a.异常的，非凡的$0
remedy n.&vt.治疗；补救$0
remember vt.记得，想起；记住$0
remind vt.提醒，使想起$0
remote a.相隔很远的；冷淡的$0
removal n.移动；迁移；除掉$0
remove vt.移动，搬开；脱掉$0
render vt.表示，给予；使得$0
renew vt.使更新 vi.更新$0
rent n.租金，租 vi.出租$0
repair vt.&n.修理，修补$0
repeat vt.重说，重做 n.重复$0
repeatedly ad.重复地；一再$0
repent vi.悔悟，悔改vt.后悔$0
repetition n.重复，反复$0
replace vt.把…放回；取代$0
reply vi.&n.回答，答复$0
report vt.&vi.报告；汇报$0
reporter n.记者，通讯员$0
represent vt.描绘；代表；象征$0
representative a.代表性的 n.代表$0
reproach vt.&n.责备，指责$0
reproduce vt.&vi.繁殖，生殖$0
republic n.共和国，共和政体$0
republican a.共和国的$0
reputation n.名誉，名声；好名声$0
request n.&v.请求，要求$0
require vt.需要；要求，命令$0
requirement n.需要；要求$0
rescue vt.&n.援救，营救$0
research n.&vi.调查，探究$0
researcher n.调查者；探究者$0
resemble vt.像，类似$0
reserve vt.储备，保留；预定$0
reservior n.水库；蓄水池$0
residence n.居住；驻扎；住处$0
resident a.居住的 n.居民$0
resign vt.放弃 vi.辞职$0
resignation n.放弃，辞职，反抗$0
resist vt.&vi.抵抗，抵制$0
resistance n.抵抗；抵制；抵抗力$0
resistant a.抵抗的，反抗的$0
resolution n.坚决，坚定；决定$0
resolve vt.解决；决心 n.决心$0
resort vi.&n.求助，凭借$0
resource n.资源，物力；办法$0
respect n.&vt.尊敬，尊重$0
respectful a.恭敬的，尊重的$0
respective 各自的，各个的$0
respectively ad.各自地，分别地$0
respond vi.作答；响应$0
response n.作答，回答；响应$0
responsibility n.责任，责任心；职责$0
responsible a.有责任的；尽责的$0
rest n.休息；安静；静止$0
rest n.剩余部分；其余的人$0
restaurant n.餐馆，饭店，菜馆$0
restless a.不安定的，焦虑的$0
restore vt.恢复；归还；修补$0
restrain vt.抑制，遏制；限制$0
restraint n.抑制；遏制；克制$0
restrict vt限制，限定，约束$0
restriction n.限制，限定，约束$0
result n.成果 vi.发生，结果$0
resume vt.恢复；重新开始$0
retain vt.保持，保留，保有$0
retell vt.再讲，重述，复述$0
retire vi.退下；引退；就寝$0
retreat vi.(被迫)退却，后退$0
return vi.&n.回来，返回$0
reveal vt.展现；揭示，揭露$0
revenge vt.替…报仇 n.报仇$0
reverse vt.颠倒，翻转 n.背面$0
review vt.再检查 n.复习$0
revise vt.修订，校订；修改$0
revolt vi.&n.反抗，造反$0
revolution n.革命；旋转，绕转$0
revolutionary a.革命的 n.革命者$0
reward n.报答；报酬 vt.报答$0
rhythm n.韵律，格律；节奏$0
rib n.肋，肋骨$0
ribbon n.缎带，丝带；带$0
rice n.稻，米，饭$0
rich a.富的，丰富的$0
rid vt.使摆脱，使去掉$0
riddle n.谜，谜语$0
ride vi.&n.骑马，乘车$0
rider n.骑马的人；乘车的人$0
ridge n.脊；岭，山脉；垄$0
ridiculous a.荒谬的，可笑的$0
rifle n.步枪，来复枪$0
right a.正确的 ad.对，正好$0
rigid a.刚硬的；僵硬的$0
ring n.环形物(如圈、环等)$0
ring vi.鸣；按铃 n.铃声$0
ripe a.熟的；时机成熟的$0
ripen vt.使熟 vi.成熟$0
rise vi.起立；升起；上涨$0
risk n.风险，危险，冒险$0
rival n.竞争者 a.竞争的$0
river n.江，河，水道$0
road n.路，道路，公路$0
roar vi.吼叫；呼喊 n.吼$0
roast vt.&vi.烤，炙，烘$0
rob vt.&vi.抢劫；劫掠$0
robber n.强盗，盗贼$0
robbery n.抢劫，劫掠，盗取$0
robe n.长袍，长衣，浴衣$0
robot n.机器人；自动机$0
rock vt.摇，使动摇 vi.摇$0
rock n.岩，岩石；石头$0
rocket n.火箭，火箭发动机$0
rod n.杆，竿，棒$0
role n.角色，作用，任务$0
roll vi.&vt.滚动；转动$0
roller n.滚柱，滚筒，滚轴$0
Roman n.古罗马人 a.罗马的$0
romantic a.浪漫的；传奇的$0
roof n.屋顶，车顶；顶$0
room n.房间；地位；余地$0
root n.根，根子 vi.生根$0
rope n.绳，索$0
rose n.蔷薇花，蔷薇科植物$0
rot vt.烂，腐坏 n.腐烂$0
rotary a.旋转的，转动的$0
rotate vi.旋转 vt.使旋转$0
rotation n.旋转，转动；循环$0
rotten a.腐烂的，发臭的$0
rough a.表面不平的；粗略的$0
roughly ad.粗糙地，粗略地$0
round a.圆的 n.兜圈；一轮$0
rouse vt.唤醒，唤起；惊起$0
route n.路，路线，路程$0
routine n.例行公事 a.日常的$0
row n.(一)排，(一)行$0
row vt.划(船等) vi.划船$0
royal a.王的；皇家的$0
rub vt.摩擦，擦 vi.摩擦$0
rubber n.橡皮(擦子)；橡胶$0
rubbish n.垃圾，废物；废话$0
rude a.加工粗糙的；粗野的$0
rug n.小地毯；毛毯$0
ruin n.毁灭；废墟 vt.毁坏$0
rule n.统治；规定；习惯$0
ruler n.统治者；尺，直尺$0
rumour n.谣言，谣传，传闻$0
run vi.跑，奔；行驶；流$0
runner n.赛跑的人$0
rural a.农村的，田园的$0
rush vi.冲，奔 vt.催促$0
Russian a.俄罗斯的 n.俄国人$0
rust n.锈 vi.生锈，氧化$0
rusty a.生锈的；变迟钝的$0
sack n.袋，麻袋；开除$0
sacred a.上帝的；神圣的$0
sacrifice n.&vt.牺牲；南祭$0
sad a.悲哀的，令人悲痛的$0
saddle n.鞍子，马鞍$0
sadly ad.悲痛地，悲哀地$0
sadness n.悲痛，悲哀$0
safe a.安全的；谨慎的$0
safe n.保险箱$0
safely ad.安全地；可*地$0
safety n.安全，保险$0
sail n.帆；船  vi.航行$0
sailor n.水手，海员，水兵$0
saint n.圣徒；基督教徒$0
sake n.缘故，理由$0
salad n.色拉；莴苣，生菜$0
salary n.薪金，薪水$0
sale n.卖；拍卖；销售额$0
salesman n.售货员，推销员$0
salt n.盐；盐类 vt.加盐于$0
salute n.招呼，行礼 vi.行礼$0
same a.同一的，相同的$0
sample n.样品；实例，标本$0
sand n.沙，沙子；沙滩$0
sandwich n.三明治 vt.夹入$0
sandy n.沙的，含沙的$0
satellite n.卫星；人造卫星$0
satisfaction n.满意；快事；赔偿$0
satisfactory a.令人满意的，良好的$0
satisfy vt.满足；使满意$0
Saturday n.星期六$0
sauce n.调味汁，酱汁$0
saucer n.茶托，浅碟$0
sausage n.香肠，腊肠$0
save vt.救；节省；储蓄$0
saving n.搭救；节约；存款$0
saw n.锯子 vt.锯，锯开$0
say vt.说；说明；比如说$0
scale n.天平，磅秤，秤$0
scale n.标度；比例；大小$0
scan vt.细看；浏览；扫描$0
scar n.伤疤，伤痕；创伤$0
scarce a.缺乏的；希有的$0
scarcely ad.仅仅；几乎不$0
scare vt.惊吓 vi.受惊$0
scarf n.围巾，头巾；领带$0
scatter vt.使消散；撒；散播$0
scene n.发生地点；道具$0
scenery n.舞台布景；风景$0
scent n.气味，香味；香水$0
schedule n.时间表；计划表$0
scheme n.计划，规划；诡计$0
scholar n.学者(尤指文学方面)$0
scholarship n.学业成绩；奖学金$0
school n.学校；学院；学派$0
science n.科学，科学研究$0
scientific a.科学(上)的$0
scientist n.(自然)科学家$0
scissors n.剪刀，剪子$0
scold vi.责骂 vt.申斥$0
scope n.范围；余地，机会$0
score n.得分，比数，成绩$0
scorn n.轻蔑；嘲笑 vt.轻蔑$0
scout n.侦察员，侦察机$0
scrape vt.&vi.&n.刮，擦$0
scratch vt.&vi.&n.搔；抓$0
scream vi.尖叫；呼啸$0
screen n.屏；屏幕 vt.掩蔽$0
screw n.螺旋，螺丝 vt.拧紧$0
sea n.海，海洋$0
seal n.封蜡；印记 vt.封$0
seal n.海豹$0
seaman n.海员，水手；水兵$0
seaport n.海港，港市$0
search vt.在…中搜寻，搜查$0
season n.季，季节，时节$0
seat n.座；座部 vt.使坐下$0
second num.第二 a.二等的$0
second n.秒$0
secondary a.第二的；次要的$0
secondly ad.第二(点)；其次$0
secret a.秘密的；隐蔽的$0
secretary n.秘书；书记；大臣$0
section n.切片；一段；部门$0
